formula,prediction,density,Peak Score,index
SrLi4N2,86.305,0.142,2.249,8126
Ca2MnO4,95.691,0.257,1.984,1030
LiB,128.929,0.203,1.972,4293
CuAs,131.939,0.287,1.511,2091
Cs2CrCl4,77.763,0.249,1.411,1826
LiAlPt2,123.586,0.278,1.277,4281
CaCu2O3,97.576,0.272,1.234,1177
SF6,65.783,0.233,1.211,7074
TbGaRh2,126.030,0.285,1.126,8438
Sm2Zr2O7,68.442,0.267,1.043,7608
Rb2Cr(BrCl)2,63.596,0.248,1.010,6763
K2SnCl6,25.614,0.250,0.919,3510
MgS,119.968,0.275,0.911,5093
LiErGe,56.670,0.151,0.869,4381
Al(SnO2)2,100.924,0.271,0.869,139
Ti2GaC,114.697,0.292,0.847,8693
CeNiC2,109.618,0.284,0.743,1560
CaPd3O4,93.365,0.273,0.730,1270
Cs2PbCl6,20.238,0.248,0.724,1870
RbSbO3,26.385,0.248,0.707,6979
Cr2FeS4,97.866,0.279,0.646,1698
LiZnAu2,100.094,0.280,0.603,4682
Sr3MnN3,76.939,0.208,0.595,8007
LiLuPt2,114.197,0.180,0.585,4478
ThSiO4,77.977,0.270,0.481,8639
YNiSb,62.519,0.271,0.475,9851
CrPO4,85.389,0.267,0.472,1787
ZrH3,50.260,0.263,0.464,10471
Na2Hf2O5,55.206,0.260,0.442,5475
Li7Sn2,27.148,0.133,0.432,4239
Sr6Sn2NO,50.487,0.162,0.422,8034
Li3Au,33.729,0.129,0.409,4140
Cs2RbInF6,35.548,0.247,0.406,1888
MnAlRh2,137.061,0.290,0.381,5266
Li4UO5,69.000,0.212,0.360,4204
Ho2CF2,46.587,0.247,0.331,3185
Rb3Mg,23.859,0.128,0.313,6861
YMg2,50.869,0.277,0.284,9816
MgSiN2,104.296,0.279,0.278,5115
CrGaP2,104.801,0.285,0.226,1766
LiTmIn2,83.986,0.194,0.223,4641
BeGaRh2,130.518,0.290,0.145,852
Yb2SbAu,83.089,0.181,0.137,9975
Ga2CoS4,95.500,0.271,0.136,2674
Yb2AgSn,83.040,0.183,0.135,9954
BaTe2,26.183,0.251,0.096,744
Sr(ZnGe)2,53.285,0.278,0.086,7904
MnSbPd2,117.842,0.290,0.030,5373
U2CrN3,110.245,0.288,0.022,9287
P2Pb2O7,61.947,0.267,0.019,6298
HoTmMg2,85.248,0.188,-0.019,3325
ScNbOs2,125.228,0.287,-0.105,7384
Nd(CoSi)2,69.994,0.282,-0.148,5981
Ca3Au,42.036,0.122,-0.167,1065
Ho2Cr2C3,76.976,0.276,-0.190,3189
ErCdCu4,75.028,0.290,-0.216,2394
Hf4N3,92.185,0.293,-0.221,2946
Pr(CoSi)2,67.877,0.283,-0.225,6525
CaSmZn2,82.083,0.190,-0.241,1307
ErB2Rh2C,92.593,0.285,-0.265,2384
Nd2CdIn,84.317,0.192,-0.344,6000
Er2ZnRu,99.850,0.186,-0.405,2366
LaCu2,56.270,0.285,-0.408,3852
BaTiS3,31.073,0.258,-0.409,751
Sc2CoRu,119.275,0.289,-0.419,7168
TbNi2,65.653,0.280,-0.431,8458
Sm2AgSn,85.869,0.189,-0.444,7571
Ca3BiSb,32.939,0.163,-0.461,1069
TmHfRu2,127.315,0.284,-0.473,9217
ZrGeTe,57.001,0.287,-0.484,10467
Ho(SiRu)2,70.240,0.281,-0.496,3178
Fe3Sn2,74.294,0.290,-0.499,2587
Mn3O4,81.568,0.273,-0.514,5230
Pr2ZnHg,78.064,0.191,-0.516,6558
AsPdSe,56.262,0.281,-0.518,352
Ba(CdAs)2,43.840,0.279,-0.542,422
P3N5,55.863,0.273,-0.610,6305
NdTmTl2,64.378,0.193,-0.778,6155
SmMn2O5,59.751,0.274,-0.830,7724
LiTmHg2,60.299,0.192,-0.869,4640
DyCuSeO,56.549,0.272,-0.986,2242
Ni2Ge,64.471,0.290,-1.031,6171
DyIr3,77.062,0.285,-1.149,2263
HoCd3,31.454,0.280,-1.239,3230
TbCd3,31.292,0.282,-1.245,8415
TiBiRh,68.947,0.293,-1.280,8848
NdBPd3,58.452,0.287,-1.356,6045
CeIr2,82.944,0.285,-1.417,1545
V2C,43.881,0.293,-1.434,9401
Mg(BeN)2,56.079,0.281,-1.476,4839
TaNiGe,65.335,0.291,-1.480,8321
Sc3AlC,46.802,0.292,-1.556,7232
Sc2CdAg,88.367,0.289,-1.588,7161
HfPbO3,41.409,0.271,-1.607,3060
CdCl2,11.854,0.264,-1.708,1387
Cu3P,49.656,0.290,-1.756,2071
In2Se3,29.837,0.269,-1.911,3346
Fe2W,64.893,0.288,-1.963,2569
ZnCo3C,45.532,0.290,-2.081,10231
Sc,21.219,0.279,-3.473,7129
